adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
0,0,0,Check-Out,7/1/2015,Ernest Barnes,Ernest.Barnes31@outlook.com,669-792-1661,************4322
0,0,0,Check-Out,7/1/2015,Andrea Baker,Andrea_Baker94@aol.com,858-637-6955,************9157
94.95,0,1,Check-Out,7/1/2015,Angie Sanchez,Angie_Sanchez@att.com,211-889-2476,************8871
63.6,1,0,Check-Out,7/8/2015,Alexis King,King_Alexis70@hotmail.com,103-516-5853,************6809
79.5,0,0,Check-Out,7/8/2015,Michael Davidson,MichaelDavidson82@att.com,336-525-2460,************8662
107,0,2,Canceled,5/11/2015,Jaime Flynn,JaimeFlynn29@gmail.com,549-866-3721,************9660
94,0,0,Check-Out,7/8/2015,Mrs. Alicia Williams,Mrs..W61@yandex.com,427-564-4927,************4445
87.3,1,1,Check-Out,7/8/2015,Heather Hart,Heather.H@xfinity.com,431-329-6663,************2780
62,0,2,Check-Out,7/15/2015,Diamond Wilson,Wilson.Diamond@comcast.net,870-563-6202,************8017
63.86,0,0,Check-Out,7/16/2015,Paul Williams,Williams_Paul@xfinity.com,789-736-8837,************7006
108.3,0,2,Canceled,5/29/2015,Reginald Cunningham,Reginald_C57@outlook.com,800-249-2144,************5699
65.5,0,0,Check-Out,7/8/2015,Willie Sims,Willie_S@yahoo.com,790-830-7635,************7682
108.8,0,1,Canceled,5/19/2015,Alex Brown,Alex.B@zoho.com,956-737-1944,************4084
108.8,0,1,Canceled,6/19/2015,Virginia Holden,Virginia.H@aol.com,734-480-9929,************8469
98,0,0,Check-Out,7/6/2015,John Smith,John_Smith@xfinity.com,624-965-3392,************6445
108.8,0,1,Check-Out,7/6/2015,Jennifer Barton,JBarton@hotmail.com,902-792-8048,************2544
108.8,0,0,Canceled,5/23/2015,Richard Holt,Richard.Holt@hotmail.com,517-420-6344,************7544
137,0,1,Check-Out,7/7/2015,Amy Green,Amy.Green56@gmail.com,858-208-4589,************3073
117.81,0,0,Canceled,5/18/2015,Kimberly Perez,Perez.Kimberly84@hotmail.com,320-615-3590,************4653
79.5,0,0,Check-Out,7/7/2015,Carly Armstrong,CArmstrong@mail.com,521-784-3601,************7391
123,0,0,Check-Out,7/7/2015,Scott Hammond,ScottHammond41@verizon.com,632-108-8350,************4823
137,0,1,Check-Out,7/7/2015,Debra Fuller,Debra.Fuller@protonmail.com,229-134-3710,************3550
110.7,0,2,Check-Out,7/9/2015,Rachel Davis,RachelDavis@mail.com,549-261-2558,************2810
153,0,0,Canceled,6/2/2015,Michael Mccormick,Mccormick.Michael19@aol.com,380-830-9585,************2950
58.95,0,1,Check-Out,7/9/2015,Ann Sullivan,AnnSullivan@att.com,947-577-3720,************4782
82.88,0,2,Check-Out,7/9/2015,Rachel Wallace,Rachel_W79@xfinity.com,870-988-2775,************1133
82.35,0,0,Check-Out,7/9/2015,Carla Ferguson,Carla_Ferguson@att.com,724-910-8709,************8339
119.35,0,1,Check-Out,7/9/2015,Greg Hardin,Hardin_Greg@gmail.com,488-646-3204,************1449
67.58,0,2,Check-Out,7/9/2015,Rachel Ho,Ho_Rachel74@aol.com,338-173-6502,************4642
56.01,0,0,Check-Out,7/13/2015,Elizabeth Joseph,Joseph_Elizabeth@yandex.com,625-613-9890,************5898
110.7,0,0,Check-Out,7/16/2015,Stephen Brown,Stephen.Brown@att.com,154-115-9953,************6842
88.2,1,0,Check-Out,7/3/2015,Scott Ward,Scott_Ward11@hotmail.com,463-281-5751,************2726
147,1,0,Check-Out,7/3/2015,Derrick Bailey,Derrick_Bailey@protonmail.com,709-066-0652,************6401
107,1,2,Check-Out,7/3/2015,Jessica Cole,Jessica_Cole@yahoo.com,179-191-0924,************3609
147,0,0,Check-Out,7/3/2015,Reginald Russo,Russo.Reginald65@comcast.net,765-624-6051,************1221
117.9,0,2,Check-Out,7/3/2015,William Sanchez,William.Sanchez@mail.com,120-215-7905,************2923
123,0,0,Check-Out,7/3/2015,Diane Rose,Diane.Rose@protonmail.com,362-196-5800,************7251
98,0,1,Check-Out,7/4/2015,Nathan Smith,Nathan_Smith@comcast.net,689-649-9029,************4556
117.81,0,0,Check-Out,7/4/2015,Andrew Bullock,AndrewBullock17@hotmail.com,674-443-2397,************4571
135,1,2,Check-Out,7/4/2015,Nancy Mccormick,Nancy.M@protonmail.com,199-421-8585,************7707
133,0,1,Check-Out,7/5/2015,Barbara Cole,Barbara.Cole@hotmail.com,152-786-1085,************6762
58.95,0,0,Check-Out,7/5/2015,Sheri Aguilar,Aguilar.Sheri22@att.com,333-467-7388,************5982
136.33,0,2,Canceled,6/29/2015,Sandra Graham,Sandra_Graham@xfinity.com,141-723-4259,************4525
153,1,0,Check-Out,7/5/2015,Christopher Cabrera,Cabrera.Christopher@yahoo.com,852-612-3076,************8922
110.5,0,0,Check-Out,7/5/2015,Melinda Flores,Flores_Melinda@yahoo.com,419-443-6780,************9114
97,0,0,Check-Out,7/5/2015,Michael Whitehead,Michael.W@mail.com,738-618-2202,************8548
110.3,0,2,Canceled,6/16/2015,Brent Hamilton,Brent.Hamilton15@gmail.com,304-692-3370,************9129
82,0,2,Canceled,6/18/2015,Jessica Bradford,JBradford@outlook.com,207-319-4187,************6345
97,0,1,Canceled,7/3/2015,Marissa Robinson,MarissaRobinson@mail.com,770-855-7071,************8906
73.8,0,1,Canceled,6/12/2015,Jennifer Curry,Jennifer_Curry@hotmail.com,964-722-0569,************2465
91.5,0,0,Check-Out,7/5/2015,Teresa Maldonado,Maldonado_Teresa95@protonmail.com,623-086-5362,************7419
114.5,0,0,Check-Out,7/5/2015,Bryan Perez,BryanPerez@gmail.com,125-111-5926,************7649
110.3,0,0,Canceled,6/9/2015,Timothy Horn,Timothy.H@yandex.com,308-321-9169,************9797
90.9,1,0,Check-Out,7/6/2015,Angela Williams,Angela.Williams@xfinity.com,580-737-9824,************2429
123,0,0,Canceled,5/26/2015,Lee Ramirez MD,LMD@yahoo.com,764-987-4238,************1841
